countryId,countryName,RGB,,
1,Afghanistan,(97,57, 31)
2,Albania,(194,114, 62)
3,Algeria,(35,171, 93)
4,American Samoa,(132,228, 124)
5,Andorra,(229,29, 155)
6,Angola,(70,86, 186)
7,Anguilla,(167,143, 217)
9,Antigua and Barbuda,(105,1, 23)
10,Argentina,(202,58, 54)
11,Armenia,(43,115, 85)
12,Aruba,(140,172, 116)
13,Australia,(237,229, 147)
14,Austria,(78,30, 178)
15,Azerbaijan,(175,87, 209)
16,Bahamas,(16,144, 240)
17,Bahrain,(113,201, 15)
18,Bangladesh,(210,2, 46)
19,Barbados,(51,59, 77)
20,Belarus,(148,116, 108)
21,Belgium,(245,173, 139)
22,Belize,(86,230, 170)
23,Benin,(183,31, 201)
24,Bermuda,(24,88, 232)
25,Bhutan,(121,145, 7)
26,Bolivia,(218,202, 38)
27,Bonaire,(59,3, 69)
28,Bosnia and Herzegovina,(156,60, 100)
29,Botswana,(253,117, 131)
31,Brazil,(191,231, 193)
33,Brunei Darussalam,(129,89, 255)
34,Bulgaria,(226,146, 30)
35,Burkina Faso,(67,203, 61)
36,Burundi,(164,4, 92)
37,Cabo Verde,(5,61, 123)
38,Cambodia,(102,118, 154)
39,Cameroon,(199,175, 185)
40,Canada,(40,232, 216)
41,Cayman Islands,(137,33, 247)
42,Central African Republic,(234,90, 22)
43,Chad,(75,147, 53)
44,Chile,(172,204, 84)
45,China,(13,5, 115)
46,Christmas Island,(110,62, 146)
47,Cocos (Keeling) Islands,(207,119, 177)
48,Colombia,(48,176, 208)
49,Comoros,(145,233, 239)
50,Congo,(242,34, 14)
51,Cook Islands,(83,91, 45)
52,Costa Rica,(180,148, 76)
53,Côte d'Ivoire,(21,205, 107)
54,Croatia,(118,6, 138)
55,Cuba,(215,63, 169)
56,Curaçao,(56,120, 200)
57,Cyprus,(153,177, 231)
58,Czechia,(250,234, 6)
59,Denmark,(91,35, 37)
60,Djibouti,(188,92, 68)
61,Dominica,(29,149, 99)
62,Dominican Republic,(126,206, 130)
63,Ecuador,(223,7, 161)
64,Egypt,(64,64, 192)
65,El Salvador,(161,121, 223)
66,Equatorial Guinea,(2,178, 254)
67,Eritrea,(99,235, 29)
68,Estonia,(196,36, 60)
69,Eswatini,(37,93, 91)
70,Ethiopia,(134,150, 122)
71,Falkland Islands (Malvinas),(231,207, 153)
72,Faroe Islands,(72,8, 184)
73,Fiji,(169,65, 215)
74,Finland,(10,122, 246)
75,France,(107,179, 21)
76,French Guiana,(204,236, 52)
77,French Polynesia,(45,37, 83)
78,French Southern Territories,(142,94, 114)
79,Gabon,(239,151, 145)
80,Gambia,(80,208, 176)
81,Georgia,(177,9, 207)
82,Germany,(18,66, 238)
83,Ghana,(115,123, 13)
85,Greece,(53,237, 75)
86,Greenland,(150,38, 106)
87,Grenada,(247,95, 137)
88,Guadeloupe,(88,152, 168)
89,Guam,(185,209, 199)
90,Guatemala,(26,10, 230)
91,Guernsey,(123,67, 5)
92,Guinea,(220,124, 36)
93,Guinea-Bissau,(61,181, 67)
94,Guyana,(158,238, 98)
95,Haiti,(255,39, 129)
97,Honduras,(193,153, 191)
98,Hong Kong,(34,210, 222)
99,Hungary,(131,11, 253)
100,Iceland,(228,68, 28)
101,India,(69,125, 59)
102,Indonesia,(166,182, 90)
103,Iran,(7,239, 121)
104,Iraq,(104,40, 152)
105,Ireland,(201,97, 183)
106,Isle of Man,(42,154, 214)
107,Israel,(139,211, 245)
108,Italy,(236,12, 20)
109,Jamaica,(77,69, 51)
110,Japan,(174,126, 82)
111,Jersey,(15,183, 113)
112,Jordan,(112,240, 144)
113,Kazakhstan,(209,41, 175)
114,Kenya,(50,98, 206)
115,Kiribati,(147,155, 237)
116,Kosovo,(244,212, 12)
117,Kuwait,(85,13, 43)
118,Kyrgyzstan,(182,70, 74)
119,Laos,(23,127, 105)
120,Latvia,(120,184, 136)
121,Lebanon,(217,241, 167)
122,Lesotho,(58,42, 198)
123,Liberia,(155,99, 229)
124,Libya,(252,156, 4)
126,Lithuania,(190,14, 66)
127,Luxembourg,(31,71, 97)
128,Macao,(128,128, 128)
129,Madagascar,(225,185, 159)
130,Malawi,(66,242, 190)
131,Malaysia,(163,43, 221)
132,Maldives,(4,100, 252)
133,Mali,(101,157, 27)
134,Malta,(198,214, 58)
135,Marshall Islands,(39,15, 89)
136,Martinique,(136,72, 120)
137,Mauritania,(233,129, 151)
138,Mauritius,(74,186, 182)
139,Mayotte,(171,243, 213)
140,Mexico,(12,44, 244)
141,Micronesia,(109,101, 19)
142,Moldova,(206,158, 50)
144,Mongolia,(144,16, 112)
145,Montenegro,(241,73, 143)
147,Morocco,(179,187, 205)
148,Mozambique,(20,244, 236)
149,Myanmar,(117,45, 11)
151,Nauru,(55,159, 73)
152,Nepal,(152,216, 104)
153,Netherlands,(249,17, 135)
154,New Caledonia,(90,74, 166)
155,New Zealand,(187,131, 197)
156,Nicaragua,(28,188, 228)
157,Niger,(125,245, 3)
158,Nigeria,(222,46, 34)
159,Niue,(63,103, 65)
160,Norfolk Island,(160,160, 96)
161,North Korea,(1,217, 127)
162,North Macedonia,(98,18, 158)
163,Northern Mariana Islands,(195,75, 189)
164,Norway,(36,132, 220)
165,Oman,(133,189, 251)
166,Pakistan,(230,246, 26)
167,Palau,(71,47, 57)
168,Palestine,(168,104, 88)
169,Panama,(9,161, 119)
170,Papua New Guinea,(106,218, 150)
171,Paraguay,(203,19, 181)
172,Peru,(44,76, 212)
173,Philippines,(141,133, 243)
174,Pitcairn,(238,190, 18)
